P( Et | Xt ): 
P(b|s) = 0.000109902187054
P(c|s) = 0.000109902187054
P(d|s) = 0.0402242004616
P(e|s) = 0.000109902187054
P(f|s) = 0.000109902187054
P(g|s) = 0.000109902187054
P(h|s) = 0.000109902187054
P(i|s) = 0.000109902187054
P(j|s) = 0.000109902187054
P(k|s) = 0.000109902187054
P(l|s) = 0.000109902187054
P(m|s) = 0.000109902187054
P(n|s) = 0.000109902187054
P(o|s) = 0.000109902187054
P(p|s) = 0.000109902187054
P(q|s) = 0.000109902187054
P(r|s) = 0.000109902187054
P(s|s) = 0.796131443016
P(t|s) = 0.000109902187054
P(u|s) = 0.000109902187054
P(v|s) = 0.000109902187054
P(w|s) = 0.0384657654687
P(x|s) = 0.0423123420156
P(y|s) = 0.000109902187054
P(z|s) = 0.0379162545335
P(_|t) = 7.71604938272e-05
P(a|t) = 7.71604938272e-05
P(b|t) = 7.71604938272e-05
P(c|t) = 7.71604938272e-05
P(d|t) = 7.71604938272e-05
P(e|t) = 7.71604938272e-05
P(f|t) = 0.0496141975309
P(g|t) = 0.049537037037
P(h|t) = 7.71604938272e-05
P(i|t) = 7.71604938272e-05
P(j|t) = 7.71604938272e-05
P(k|t) = 7.71604938272e-05
P(l|t) = 7.71604938272e-05
P(m|t) = 7.71604938272e-05
P(n|t) = 7.71604938272e-05
P(o|t) = 7.71604938272e-05
P(p|t) = 7.71604938272e-05
P(q|t) = 7.71604938272e-05
P(r|t) = 0.0510030864198
P(s|t) = 7.71604938272e-05
P(t|t) = 0.800925925926
P(u|t) = 7.71604938272e-05
P(v|t) = 7.71604938272e-05
P(w|t) = 7.71604938272e-05
P(x|t) = 7.71604938272e-05
P(y|t) = 0.0472222222222
P(z|t) = 7.71604938272e-05
P(_|u) = 0.000267379679144
P(a|u) = 0.000267379679144
P(b|u) = 0.000267379679144
P(c|u) = 0.000267379679144
P(d|u) = 0.000267379679144
P(e|u) = 0.000267379679144
P(f|u) = 0.000267379679144
P(g|u) = 0.000267379679144
P(h|u) = 0.0505347593583
P(i|u) = 0.051871657754
P(j|u) = 0.0441176470588
P(k|u) = 0.000267379679144
P(l|u) = 0.000267379679144
P(m|u) = 0.000267379679144
P(n|u) = 0.000267379679144
P(o|u) = 0.000267379679144
P(p|u) = 0.000267379679144
P(q|u) = 0.000267379679144
P(r|u) = 0.000267379679144
P(s|u) = 0.000267379679144
P(t|u) = 0.000267379679144
P(u|u) = 0.800267379679
P(v|u) = 0.000267379679144
P(w|u) = 0.000267379679144
P(x|u) = 0.000267379679144
P(y|u) = 0.0473262032086
P(z|u) = 0.000267379679144
P(_|v) = 0.000549752611325
P(a|v) = 0.000549752611325
P(b|v) = 0.0417811984607
P(c|v) = 0.04562946674
P(d|v) = 0.000549752611325
P(e|v) = 0.000549752611325
P(f|v) = 0.0533260032985
P(g|v) = 0.0599230346344
P(h|v) = 0.000549752611325
P(i|v) = 0.000549752611325
P(j|v) = 0.000549752611325
P(k|v) = 0.000549752611325
P(l|v) = 0.000549752611325
P(m|v) = 0.000549752611325
P(n|v) = 0.000549752611325
P(o|v) = 0.000549752611325
P(p|v) = 0.000549752611325
P(q|v) = 0.000549752611325
P(r|v) = 0.000549752611325
P(s|v) = 0.000549752611325
P(t|v) = 0.000549752611325
P(u|v) = 0.000549752611325
P(v|v) = 0.787245739417
P(w|v) = 0.000549752611325
P(x|v) = 0.000549752611325
P(y|v) = 0.000549752611325
P(z|v) = 0.000549752611325
P(_|w) = 0.00047460844803
P(a|w) = 0.0460370194589
P(b|w) = 0.00047460844803
P(c|w) = 0.00047460844803
P(d|w) = 0.00047460844803
P(e|w) = 0.0436639772188
P(f|w) = 0.00047460844803
P(g|w) = 0.00047460844803
P(h|w) = 0.00047460844803
P(i|w) = 0.00047460844803
P(j|w) = 0.00047460844803
P(k|w) = 0.00047460844803
P(l|w) = 0.00047460844803
P(m|w) = 0.00047460844803
P(n|w) = 0.00047460844803
P(o|w) = 0.00047460844803
P(p|w) = 0.00047460844803
P(q|w) = 0.0512577123873
P(r|w) = 0.00047460844803
P(s|w) = 0.0522069292833
P(t|w) = 0.00047460844803
P(u|w) = 0.00047460844803
P(v|w) = 0.00047460844803
P(w|w) = 0.796392975795
P(x|w) = 0.00047460844803
P(y|w) = 0.00047460844803
P(z|w) = 0.00047460844803
P(_|x) = 0.00348432055749
P(a|x) = 0.00348432055749
P(b|x) = 0.00348432055749
P(c|x) = 0.0383275261324
P(d|x) = 0.0627177700348
P(e|x) = 0.00348432055749
P(f|x) = 0.00348432055749
P(g|x) = 0.00348432055749
P(h|x) = 0.00348432055749
P(i|x) = 0.00348432055749
P(j|x) = 0.00348432055749
P(k|x) = 0.00348432055749
P(l|x) = 0.00348432055749
P(m|x) = 0.00348432055749
P(n|x) = 0.00348432055749
P(o|x) = 0.00348432055749
P(p|x) = 0.00348432055749
P(q|x) = 0.00348432055749
P(r|x) = 0.00348432055749
P(s|x) = 0.0592334494774
P(t|x) = 0.00348432055749
P(u|x) = 0.00348432055749
P(v|x) = 0.00348432055749
P(w|x) = 0.00348432055749
P(x|x) = 0.717770034843
P(y|x) = 0.00348432055749
P(z|x) = 0.0452961672474
P(_|y) = 0.00035739814153
P(a|y) = 0.00035739814153
P(b|y) = 0.00035739814153
P(c|y) = 0.00035739814153
P(d|y) = 0.00035739814153
P(e|y) = 0.00035739814153
P(f|y) = 0.00035739814153
P(g|y) = 0.0507505360972
P(h|y) = 0.0507505360972
P(i|y) = 0.00035739814153
P(j|y) = 0.00035739814153
P(k|y) = 0.00035739814153
P(l|y) = 0.00035739814153
P(m|y) = 0.00035739814153
P(n|y) = 0.00035739814153
P(o|y) = 0.00035739814153
P(p|y) = 0.00035739814153
P(q|y) = 0.00035739814153
P(r|y) = 0.00035739814153
P(s|y) = 0.00035739814153
P(t|y) = 0.0475339528234
P(u|y) = 0.0421729807005
P(v|y) = 0.00035739814153
P(w|y) = 0.00035739814153
P(x|y) = 0.00035739814153
P(y|y) = 0.800929235168
P(z|y) = 0.00035739814153
P(_|z) = 0.00694444444444
P(a|z) = 0.0416666666667
P(b|z) = 0.00694444444444
P(c|z) = 0.00694444444444
P(d|z) = 0.00694444444444
P(e|z) = 0.00694444444444
P(f|z) = 0.00694444444444
P(g|z) = 0.00694444444444
P(h|z) = 0.00694444444444
P(i|z) = 0.00694444444444
P(j|z) = 0.00694444444444
P(k|z) = 0.00694444444444
P(l|z) = 0.00694444444444
P(m|z) = 0.00694444444444
P(n|z) = 0.00694444444444
P(o|z) = 0.00694444444444
P(p|z) = 0.00694444444444
P(q|z) = 0.00694444444444
P(r|z) = 0.00694444444444
P(s|z) = 0.0833333333333
P(t|z) = 0.00694444444444
P(u|z) = 0.00694444444444
P(v|z) = 0.00694444444444
P(w|z) = 0.00694444444444
P(x|z) = 0.0625
P(y|z) = 0.00694444444444
P(z|z) = 0.652777777778
